Dates,All-items,Food 5,Shelter 6,"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis",All-items excluding food and energy 7,All-items excluding energy 7,Energy 7,Goods 8,Services 9
01-01-1950,12.1,11.2,..,..,22.3,10.9,12.5,10.4,12.2,9,..,..,..,..,..
01-02-1950,12.2,11.3,..,..,22.2,10.9,12.6,10.4,12.3,9,..,..,..,..,..
01-03-1950,12.3,11.4,..,..,22.1,10.9,12.6,10.4,12.3,9,..,..,..,..,..
01-04-1950,12.3,11.4,..,..,22.1,10.9,12.6,10.4,12.3,9,..,..,..,..,..
01-05-1950,12.3,11.4,..,..,22.1,10.9,12.6,10.4,12.3,9,..,..,..,..,..
01-06-1950,12.3,11.6,..,..,22.1,10.9,12.6,10.4,12.3,9,..,..,..,..,..
01-07-1950,12.4,11.8,..,..,22.1,10.9,12.6,10.4,12.3,9,..,..,..,..,..
01-08-1950,12.5,11.9,..,..,22.1,10.9,12.6,10.4,12.3,9,..,..,..,..,..
01-09-1950,12.7,12.1,..,..,22.3,11.1,12.7,10.4,12.4,9,..,..,..,..,..
01-10-1950,12.9,12.4,..,..,22.4,11.2,12.7,10.4,12.6,9.5,..,..,..,..,..
01-11-1950,12.9,12.5,..,..,22.5,11.1,12.3,10.4,12.6,9.5,..,..,..,..,..
01-12-1950,12.9,12.5,..,..,22.5,11.1,12.3,10.5,12.8,9.5,..,..,..,..,..
01-01-1951,13,12.5,..,..,22.8,11.5,12.5,10.8,12.9,9.5,..,..,..,..,..
01-02-1951,13.3,12.7,..,..,23.4,11.5,12.5,10.9,13,9.5,..,..,..,..,..
01-03-1951,13.4,13,..,..,23.8,11.5,12.5,11.1,13,9.5,..,..,..,..,..
01-04-1951,13.6,13.2,..,..,24.2,11.5,12.5,11.2,13.1,9.5,..,..,..,..,..
01-05-1951,13.6,13.1,..,..,24.3,11.5,12.5,11.2,13.2,10,..,..,..,..,..
01-06-1951,13.9,13.3,..,..,24.3,11.8,12.6,11.2,13.3,10,..,..,..,..,..
01-07-1951,13.9,13.5,..,..,24.4,11.8,12.6,11.3,13.4,10,..,..,..,..,..
01-08-1951,14,13.7,..,..,24.7,12,12.6,11.5,13.6,10,..,..,..,..,..
01-09-1951,14.1,13.8,..,..,25,12.1,12.6,11.5,13.6,10,..,..,..,..,..
01-10-1951,14.2,13.9,..,..,25.5,12.1,12.6,11.6,13.7,10,..,..,..,..,..
01-11-1951,14.3,14,..,..,25.6,12.1,12.6,11.6,13.8,10.3,..,..,..,..,..
01-12-1951,14.3,14,..,..,25.7,12.1,12.6,11.7,13.8,10.3,..,..,..,..,..
01-01-1952,14.4,14,..,..,25.6,12.1,12.7,11.8,13.9,10.3,..,..,..,..,..
01-02-1952,14.3,13.8,..,..,25.3,12.1,12.7,11.9,13.9,10.3,..,..,..,..,..
01-03-1952,14.2,13.5,..,..,25.2,12.3,12.7,11.9,14,10.3,..,..,..,..,..
01-04-1952,14.2,13.5,..,..,25.1,12.3,12.7,11.9,14.2,10.3,..,..,..,..,..
01-05-1952,14.1,13.2,..,..,25,12.1,12.6,12,14.2,10,..,..,..,..,..
01-06-1952,14.1,13.3,..,..,24.9,12.1,12.6,12,14.2,10,..,..,..,..,..
01-07-1952,14.1,13.3,..,..,24.9,12.1,12.6,12,14.2,10,..,..,..,..,..
01-08-1952,14.1,13.3,..,..,24.9,12.1,12.6,12,14.2,10,..,..,..,..,..
01-09-1952,14.1,13.3,..,..,24.7,12.1,12.6,12,14.2,10,..,..,..,..,..
01-10-1952,14.1,13.2,..,..,24.5,12.4,12.6,12,14.2,10,..,..,..,..,..
01-11-1952,14.1,13.3,..,..,24.4,12.4,12.6,12,14.2,10,..,..,..,..,..
01-12-1952,14.1,13,..,..,24.4,12.4,12.5,12,14.3,10,..,..,..,..,..
01-01-1953,14.1,13,..,..,24.4,12.4,12.5,12,14.4,10,..,..,..,..,..
01-02-1953,14,13,..,..,24.4,12.4,12.5,12,14.4,10,..,..,..,..,..
01-03-1953,13.9,12.8,..,..,24.4,12.4,12.6,12,14.4,9.5,..,..,..,..,..
01-04-1953,13.9,12.7,..,..,24.4,12.4,12.6,12.2,14,9.5,..,..,..,..,..
01-05-1953,13.9,12.6,..,..,24.6,12.4,12.6,12.2,14.1,9.5,..,..,..,..,..
